PlayerName,DUPR,Dink_Pct,Hard_Hit_Pct,Error_Rate,TotalShots,Playstyle_Cluster,PCA1,PCA2
Ming Chang,4.120767828346742,0.09090909090909091,0.9090909090909091,0.08612571433024023,44.0,1,-1.5877862156153335,1.0696950474248919
Mitch AUS,4.11,0.18888888888888888,0.8111111111111111,0.024351158815417825,90.0,0,0.3226055123970637,-0.5596772278474667
Mitchell Rice,4.367,0.043478260869565216,0.9565217391304348,0.026505627459810166,115.0,2,-1.6121690588005049,-1.0760645937920224
Mo Alhouni,6.182,0.3375307629204266,0.6624692370795734,0.017205973865964817,221.0,0,2.3500876139829097,-0.19383625103330143
Mohammed Ali,3.298,0.019801980198019802,0.9801980198019802,0.019914511972140277,101.0,2,-1.8573759254977658,-1.3876935311035556
Monica Linn,5.376,0.2977556208551633,0.7022443791448367,0.020710338224077092,1232.0,0,1.7915370362342213,-0.23953514991819957
Monica Paolicelli,5.115,0.18248175182481752,0.8175182481751825,0.014598540145985401,137.0,2,0.33639901186739896,-0.9052231670217015
Monika Downey,3.078,0.07429428953908865,0.9257057104609113,0.010526315789473684,95.0,2,-1.0460197247955716,-1.4754488870897835
Moo Venkatasen,5.488,0.3815028901734104,0.6184971098265896,0.03468208092485549,173.0,0,2.7528396623782694,0.5565240393649881
Morgan Ames,3.768,0.17164179104477612,0.8283582089552238,0.05970149253731343,134.0,2,-0.25985222044569267,0.5294459790530659
Morgan Fuqua,4.243,0.14564635490473943,0.8543536450952606,0.01259644150527476,160.0,2,-0.1280919331837705,-1.1195508692641856
Murial Gorden,4.947404765699008,0.04739336492890995,0.95260663507109,0.061611374407582936,211.0,2,-1.913744756665755,0.09047107214524447
Mya Bui,5.389,0.136986301369863,0.863013698630137,0.07177111106232663,73.0,1,-0.8371929601339656,0.7851749642825512
Nando M,4.11,0.08128565160157963,0.9187143483984204,0.08567354102676612,139.0,1,-1.7098498423984747,1.0160243701789673
Natalie Kim,5.179,0.13574561403508772,0.8642543859649123,0.016885964912280702,234.0,2,-0.3014947280291667,-1.01891297858244
Natalie M.,4.11,0.07792207792207792,0.922077922077922,0.1038961038961039,77.0,1,-1.9373810395430544,1.5997630715056161
Nate A,5.11,0.3835616438356164,0.6164383561643836,0.0136986301369863,73.0,0,2.9909722384116635,-0.1229811993117453
Nate Bertness,3.799,0.20202020202020202,0.797979797979798,0.06060606060606061,198.0,0,0.1307256167774159,0.6817315139524251
